,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,288.61,287.46365,285.0788,281.44296,276.54767,270.397,263.03006,254.53911,245.08855,234.88803,224.1779,213.20036,202.17625,191.29156,180.68929,170.4776,160.72316,151.46864,142.73027,134.51001,126.79415,119.56421,112.79477,106.461525,100.53358,94.98581,89.79071,84.924126,80.36274,76.08717,72.07672,68.31619,64.79098,61.4883,58.397964,55.51199,52.823696,50.329613,48.02724,45.916683,44.00045,42.281628,40.766575,39.462296,38.377914,37.523357,36.908787,36.546276,36.44713,36.623283,37.085598,37.844566,38.90986,40.289402,41.990097,44.01693,46.372852,49.059364,52.07535,55.4179,59.08247,63.06152,67.34654,71.926956,76.79013,81.92256,87.30896,92.93291,98.77762,104.8244,111.05532,117.45115,123.99315,130.66179,137.43825,144.3042,151.24129,158.23177,165.25891,172.30617,179.35884,186.40216,193.42328,200.40857,207.34805,214.22963,221.04716,227.78453,234.45172,241.00447,247.52104,253.81248,260.27563,266.04807,272.94913,277.17163,286.52444,285.359,303.98886,286.64
11,288.66,287.77975,285.97794,283.249,279.64496,275.2246,270.05167,264.1972,257.72742,250.71907,243.26363,235.45102,227.38676,219.16838,210.89131,202.63988,194.4849,186.48459,178.68134,171.10793,163.78511,156.72557,149.93471,143.4115,137.15422,131.15244,125.39989,119.886604,114.60282,109.5367,104.6813,100.02575,95.56196,91.28275,87.1809,83.25103,79.48723,75.88565,72.443474,69.15744,66.02656,63.050236,60.22875,57.56389,55.05834,52.715694,50.541782,48.541634,46.72343,45.094566,43.66457,42.442577,41.43961,40.665596,40.131763,39.84866,39.826675,40.075558,40.604603,41.422295,42.535286,43.949833,45.67021,47.699158,50.03841,52.687138,55.643787,58.904446,62.4636,66.31466,70.44904,74.85642,79.526306,84.4456,89.60111,94.978546,100.56255,106.337364,112.28701,118.39468,124.64357,131.01698,137.49869,144.0715,150.72021,157.42802,164.18163,170.96277,177.76495,184.56036,191.36453,198.11685,204.88147,211.5689,218.12761,225.19606,229.94336,242.10893,231.3652,286.64
12,288.72,288.02756,286.5809,284.39642,281.5165,278.00125,273.9098,269.33322,264.3414,259.00827,253.39528,247.56007,241.54588,235.40842,229.18484,222.91588,216.6338,210.37425,204.16002,198.01585,191.96039,186.0057,180.16263,174.43736,168.83565,163.35773,158.00385,152.77106,147.66011,142.66647,137.78677,133.01834,128.35947,123.80643,119.35783,115.01173,110.76801,106.625114,102.5829,98.642365,94.80458,91.06895,87.438644,83.91526,80.50105,77.19826,74.01068,70.94135,67.995,65.176,62.489685,59.942535,57.540577,55.29147,53.20312,51.283978,49.54296,47.989883,46.634254,45.4867,44.55665,43.85453,43.3904,43.1734,43.212513,43.51626,44.091545,44.945408,46.082874,47.50813,49.22434,51.232937,53.534115,56.12641,59.007744,62.173645,65.61873,69.336586,73.31897,77.55688,82.04012,86.75748,91.69677,96.8452,102.18946,107.71549,113.408585,119.25549,125.23687,131.35097,137.54524,143.91165,150.14047,157.01833,162.3969,171.87862,170.83379,196.96007,153.69269,286.64
13,288.79,307.88986,318.52344,321.86902,319.85406,314.38855,307.0096,298.76526,290.30713,282.00735,274.03476,266.4523,259.27393,252.46565,245.99416,239.82149,233.90344,228.21579,222.7216,217.40475,212.23909,207.21114,202.30292,197.50684,192.80603,188.194,183.66309,179.20207,174.80547,170.46596,166.17816,161.93619,157.73581,153.57466,149.44743,145.35515,141.29321,137.26358,133.2658,129.2999,125.36887,121.47527,117.62037,113.807785,110.04155,106.32586,102.66524,99.06304,95.524414,92.05467,88.65871,85.341835,82.10943,78.96788,75.92244,72.980515,70.14785,67.43204,64.84061,62.38144,60.06289,57.89332,55.882164,54.038506,52.371902,50.891914,49.60855,48.530983,47.66893,47.031662,46.62775,46.46558,46.55284,46.896408,47.50232,48.375652,49.520546,50.94014,52.636127,54.609318,56.859333,59.384335,62.18137,65.24667,68.57441,72.15927,75.99147,80.06883,84.36584,88.91424,93.595985,98.67177,103.443115,109.619675,112.88574,123.938774,116.196045,155.34708,79.37494,286.64
14,288.84,289.27563,298.00238,308.6824,317.80963,323.6295,325.6463,324.13522,319.7906,313.41367,305.75757,297.43198,288.88715,280.43988,272.27542,264.50552,257.17987,250.30582,243.87155,237.84796,232.19891,226.8852,221.87228,217.12029,212.59688,208.2725,204.11488,200.09892,196.20488,192.40904,188.6957,185.0445,181.44456,177.88106,174.34442,170.82494,167.31354,163.80414,160.29218,156.7741,153.24538,149.70572,146.15492,142.59242,139.02028,135.43987,131.85515,128.26933,124.68605,121.110214,117.547424,114.00182,110.47987,106.98663,103.52928,100.11264,96.74389,93.429375,90.17508,86.98828,83.87627,80.84548,77.90386,75.058304,72.31747,69.68909,67.181786,64.80414,62.565018,60.473415,58.538723,56.770214,55.176895,53.76871,52.554394,51.543053,50.74326,50.16341,49.811295,49.69407,49.81839,50.190056,50.813904,51.694546,52.83433,54.237385,55.9002,57.834614,60.01086,62.498474,65.11842,68.29895,70.9765,75.73171,76.251465,87.87143,73.3253,122.90675,18.130444,286.64
15,288.92,288.22037,287.1534,288.73663,293.12598,299.2368,305.66287,311.18478,314.9616,316.58896,316.02832,313.4806,309.30402,303.8855,297.61777,290.83316,283.79922,276.72952,269.77725,263.03815,256.5848,250.44957,244.64761,239.17575,234.02364,229.17056,224.60046,220.28116,216.18724,212.29831,208.5834,205.02312,201.59082,198.2669,195.03267,191.86653,188.75607,185.68503,182.63736,179.60457,176.57376,173.53787,170.48778,167.41716,164.32336,161.19933,158.04524,154.8579,151.63765,148.38513,145.10175,141.78912,138.45123,135.09111,131.71255,128.32051,124.920616,121.517395,118.11691,114.72552,111.348145,107.99298,104.66491,101.37135,98.11931,94.915215,91.766556,88.680595,85.66479,82.72704,79.874855,77.11691,74.461006,71.915985,69.49026,67.192825,65.03246,63.018185,61.15939,59.464592,57.942963,56.603455,55.454315,54.504135,53.759903,53.231747,52.91991,52.84711,52.97908,53.417934,53.93295,55.094563,55.539238,58.554573,56.24967,67.54979,47.132442,103.37674,-22.547348,286.64
16,288.99,289.42203,289.5567,288.932,288.30255,288.43808,289.7273,292.09363,295.15512,298.38022,301.23984,303.30948,304.32175,304.15118,302.80637,300.38446,297.04135,292.95377,288.31015,283.2733,277.99762,272.6047,267.19745,261.85104,256.62625,251.5615,246.68025,242.00302,237.53198,233.26779,229.20413,225.33028,221.63615,218.10555,214.72482,211.47722,208.34521,205.31596,202.37193,199.49861,196.6822,193.90704,191.16342,188.43698,185.71965,182.99997,180.27,177.522,174.7496,171.9483,169.1119,166.23947,163.32611,160.37192,157.37622,154.33926,151.26152,148.14551,144.99303,141.80746,138.59303,135.35199,132.09132,128.81396,125.52571,122.232475,118.93923,115.65268,112.37848,109.12314,105.89328,102.695885,99.5374,96.42533,93.36684,90.36921,87.4406,84.58851,81.82095,79.146194,76.57275,74.10898,71.76336,69.54514,67.46159,65.52501,63.735527,62.122078,60.64449,59.427113,58.20074,57.633427,56.15991,57.526405,52.857025,63.22902,38.716175,97.50485,-39.813137,286.64
17,289.06,288.91702,288.99246,289.17767,289.09564,288.6457,287.97586,287.36868,287.07895,287.23972,287.86276,288.8215,289.93588,290.97986,291.76285,292.12122,291.9472,291.18698,289.83856,287.92838,285.51242,282.66226,279.45172,275.96103,272.2594,268.41672,264.49118,260.5271,256.5704,252.65337,248.79994,245.0278,241.3532,237.78282,234.32109,230.97133,227.72762,224.59135,221.55232,218.60782,215.74677,212.96284,210.24498,207.58434,204.97261,202.3989,199.85443,197.32979,194.817,192.30635,189.79259,187.26627,184.72243,182.15477,179.55815,176.9286,174.26193,171.55527,168.8079,166.01595,163.18068,160.30151,157.37871,154.41412,151.40897,148.36604,145.288,142.17757,139.03923,135.87715,132.6948,129.49747,126.29074,123.07911,119.86848,116.66487,113.47371,110.30171,107.15544,104.04107,100.965866,97.93666,94.96074,92.04607,89.19845,86.4301,83.73912,81.15631,78.63649,76.314255,73.89947,72.10557,69.277504,69.34394,63.08365,72.211655,45.732246,103.38005,-35.626694,286.64
18,289.1,305.80963,315.9822,320.79388,321.77295,320.21725,317.11188,313.14047,308.80313,304.47006,300.4147,296.81168,293.76328,291.276,289.3096,287.7733,286.54684,285.51132,284.55096,283.5705,282.4898,281.25534,279.831,278.20206,276.36548,274.3246,272.10208,269.71625,267.19202,264.55054,261.8195,259.02258,256.177,253.30698,250.4246,247.54683,244.68332,241.84457,239.03955,236.27058,233.54437,230.8613,228.22258,225.62714,223.07573,220.56372,218.08714,215.64563,213.23088,210.83986,208.46776,206.10773,203.75652,201.40656,199.05365,196.69261,194.31754,191.92429,189.50755,187.06439,184.59007,182.08151,179.536,176.95114,174.32532,171.65703,168.9449,166.1904,163.39183,160.55081,157.66846,154.74652,151.78688,148.79207,145.76515,142.70915,139.6281,136.52554,133.4057,130.27336,127.133026,123.99062,120.85044,117.71902,114.600555,111.505226,108.429375,105.40291,102.37784,99.48928,96.44397,93.95287,90.3762,89.574974,82.55007,90.34506,63.878437,117.62536,-15.117667,286.64
19,289.15,288.67258,295.58948,304.97504,314.0771,321.42856,326.39334,328.89972,329.16608,327.5838,324.59015,320.62552,316.08414,311.30197,306.53735,301.9813,297.7558,293.9268,290.51083,287.49478,284.84018,282.49207,280.3951,278.49002,276.72473,275.04974,273.42706,271.81842,270.20004,268.55646,266.87094,265.13376,263.34393,261.499,259.59802,257.6455,255.64677,253.60612,251.52455,249.4147,247.27797,245.11852,242.94528,240.75902,238.56635,236.36896,234.16946,231.97112,229.77594,227.58287,225.39476,223.21022,221.02718,218.84807,216.66875,214.48778,212.30406,210.11368,207.9148,205.70384,203.47859,201.23524,198.97124,196.68367,194.3687,192.02481,189.64803,187.23756,184.79022,182.30472,179.77962,177.21317,174.60529,171.9551,169.26329,166.5295,163.75484,160.94028,158.08725,155.19788,152.27408,149.31839,146.33412,143.32417,140.29108,137.24223,134.17252,131.10846,128.00255,124.98181,121.76626,119.02591,115.219086,113.95066,106.86283,113.385994,88.446236,136.60988,15.517598,286.64
