,0
339,2017-05-22 01:00:00
340,2017-05-22 01:15:00
341,2017-05-22 01:30:00
342,2017-05-22 01:45:00
343,2017-05-22 02:00:00
344,2017-05-22 02:15:00
345,2017-05-22 02:30:00
346,2017-05-22 02:45:00
347,2017-05-22 03:00:00
348,2017-05-22 03:15:00
349,2017-05-22 03:30:00
350,2017-05-22 03:45:00
351,2017-05-22 04:00:00
352,2017-05-22 04:15:00
353,2017-05-22 04:30:00
354,2017-05-22 04:45:00
355,2017-05-22 05:00:00
356,2017-05-22 05:15:00
357,2017-05-22 05:30:00
358,2017-05-22 05:45:00
359,2017-05-22 06:00:00
360,2017-05-22 06:15:00
361,2017-05-22 06:30:00
362,2017-05-22 06:45:00
363,2017-05-22 07:00:00
364,2017-05-22 07:15:00
365,2017-05-22 07:30:00
366,2017-05-22 07:45:00
367,2017-05-22 08:00:00
368,2017-05-22 08:15:00
369,2017-05-22 08:30:00
370,2017-05-22 08:45:00
371,2017-05-22 09:00:00
372,2017-05-22 09:15:00
373,2017-05-22 09:30:00
374,2017-05-22 09:45:00
375,2017-05-22 10:00:00
376,2017-05-22 10:15:00
377,2017-05-22 10:30:00
378,2017-05-22 10:45:00
379,2017-05-22 11:00:00
380,2017-05-22 11:15:00
381,2017-05-22 11:30:00
382,2017-05-22 11:45:00
383,2017-05-22 12:00:00
384,2017-05-22 12:15:00
385,2017-05-22 12:30:00
386,2017-05-22 12:45:00
387,2017-05-22 13:00:00
388,2017-05-22 13:15:00
389,2017-05-22 13:30:00
390,2017-05-22 13:45:00
391,2017-05-22 14:00:00
392,2017-05-22 14:15:00
393,2017-05-22 14:30:00
394,2017-05-22 14:45:00
395,2017-05-22 15:00:00
396,2017-05-22 15:15:00
397,2017-05-22 15:30:00
398,2017-05-22 15:45:00
399,2017-05-22 16:00:00
400,2017-05-22 16:15:00
401,2017-05-22 16:30:00
402,2017-05-22 16:45:00
403,2017-05-22 17:00:00
404,2017-05-22 17:15:00
405,2017-05-22 17:30:00
406,2017-05-22 17:45:00
407,2017-05-22 18:00:00
408,2017-05-22 18:15:00
409,2017-05-22 18:30:00
410,2017-05-22 18:45:00
411,2017-05-22 19:00:00
412,2017-05-22 19:15:00
413,2017-05-22 19:30:00
414,2017-05-22 19:45:00
415,2017-05-22 20:00:00
416,2017-05-22 20:15:00
417,2017-05-22 20:30:00
418,2017-05-22 20:45:00
419,2017-05-22 21:00:00
420,2017-05-22 21:15:00
